TransactionID,TransactionDate,StoreID,ProductID,SupplierID,MovementType,OpeningStock,QuantityReceived,QuantitySold,QuantityReturned,QuantityWaste,QuantityAdjusted,ShrinkageQty,ClosingStock,ReorderLevel,ExpectedStock,ActualStock,UnitCost,UnitPrice,SalesAmount,CostAmount,BatchNumber,ExpiryDate,PaymentType,ReplenishmentStatus
100038,2025-01-02,S008,P014,SUP10,Waste,86,60,28,0,0,0,0,118,12.0,118,118,0.62,1.25,35.0,17.36,B-2880,2026-01-02,Cash,
100039,2025-11-28,S005,P005,SUP03,Sale,152,46,24,0,0,0,0,174,22.0,174,174,1.1,1.89,45.36,26.4,B-8078,2025-12-19,Contactless,
100040,2025-11-06,S001,P009,SUP02,Shrinkage,42,17,0,0,1,0,0,58,19.0,58,58,0.95,1.79,0.0,0.0,B-8141,2026-11-06,Voucher,
100041,2025-02-16,S006,P016,SUP07,Return,9,16,0,0,0,0,0,25,27.0,25,25,1.38,2.49,0.0,0.0,B-2899,2025-03-09,Voucher,
100042,2025-09-21,S008,P001,SUP07,Adjustment,188,0,32,0,0,0,0,156,21.0,156,156,1.05,1.79,57.28,33.6,B-4920,2025-10-01,Cash,
100043,2025-06-09,S001,P018,SUP09,Waste,84,0,32,0,0,0,0,52,39.0,52,52,1.95,3.49,111.68,62.4,B-8736,2025-12-06,Cash,
100044,2025-08-22,S003,P018,SUP07,Return,149,0,47,0,0,0,0,102,39.0,102,102,29.25,3.49,164.03,1374.75,B-9022,2026-02-18,Cash,
100045,2025-08-17,S008,P018,SUP06,Waste,69,76,58,0,0,0,0,87,39.0,87,87,1.95,3.49,202.42,113.1,B-7325,2026-02-13,Cash,
100046,2025-09-11,S003,P002,SUP09,Return,70,0,20,0,0,0,0,50,8.0,50,50,0.42,0.89,17.8,8.4,B-6546,2025-09-16,Voucher,
100047,2025-11-29,S006,P003,SUP09,Sale,144,23,51,0,0,0,0,116,38.0,116,116,1.92,2.99,152.49,97.92,B-2646,2025-12-20,Voucher,
100048,2025-03-27,S001,P010,SUP01,Shrinkage,110,47,12,0,0,0,0,145,11.0,145,145,0.58,1.09,13.08,6.96,B-3344,2027-03-27,Cash,
100049,2025-08-25,S008,P009,SUP05,Return,138,0,41,0,0,0,0,97,19.0,97,97,0.95,1.79,73.39,38.95,B-4263,2026-08-25,Voucher,
100050,2026-13-40,S004,P004,SUP07,Shrinkage,80,0,0,0,0,0,0,80,15.0,80,80,0.78,1.29,0.0,0.0,B-9138,2025-09-12,Contactless,
100051,2025-04-28,S006,P020,SUP04,Shrinkage,34,0,5,0,0,0,0,29,28.0,29,29,1.4,2.79,13.95,7.0,B-6977,2027-04-28,Cash,
100052,2025-02-16,S006,P010,SUP07,Adjustment,57,60,41,0,0,0,0,76,11.0,76,76,0.58,1.09,44.69,23.78,B-6549,2027-02-16,Card,
100053,2025-08-28,S003,P003,SUP04,Adjustment,181,0,2,0,0,0,0,-179,38.0,179,-179,1.92,2.99,5.98,3.84,B-5295,2025-09-18,Voucher,
100054,2025-11-23,S002,P012,SUP04,Sale,37,0,29,0,0,0,0,8,18.0,8,8,0.92,1.79,51.91,26.68,B-1609,2025-12-07,Contactless,
100055,2025-09-10,S002,P004,SUP04,Return,144,31,10,0,0,0,0,165,15.0,165,165,0.78,1.29,12.9,7.8,B-1536,2025-09-17,Contactless,
100056,2025-04-22,S008,P015,SUP04,Adjustment,33,0,47,0,0,0,0,-14,11.0,-14,-14,0.55,1.49,70.03,25.85,B-4475,2025-10-19,Card,
100057,2025-01-26,S004,P011,SUP03,Receipt,173,0,34,0,0,0,0,139,33.0,139,139,1.65,2.99,101.66,56.1,B-3129,2026-01-26,Contactless,On Time
100058,2025-02-26,S003,P001,SUP01,Shrinkage,228,47,1,1,0,0,1,274,21.0,275,274,1.05,1.79,1.79,2.1,B-1710,2025-03-08,Contactless,
100059,2025-08-23,S001,P001,SUP08,Adjustment,151,0,17,0,0,0,0,134,21.0,134,134,1.05,1.79,30.43,17.85,B-6327,2025-09-02,Voucher,
100060,2025-11-02,S005,P017,SUP08,Waste,132,0,38,0,0,0,0,94,24.0,94,94,1.22,2.19,83.22,46.36,B-7532,2025-12-17,Voucher,
100061,2025-02-18,S007,P011,SUP06,Adjustment,90,19,30,0,0,2,0,81,33.0,81,81,1.65,2.99,89.7,49.5,B-3002,2026-02-18,Voucher,
100062,2025-07-01,S001,P014,SUP05,Shrinkage,109,0,10,0,0,0,2,97,12.0,99,97,0.62,1.25,12.5,6.2,B-1430,2026-07-01,Contactless,
100063,2025-01-15,S005,P006,SUP05,Return,183,0,18,0,0,2,0,167,25.0,167,167,1.25,2.19,39.42,22.5,B-3578,2025-01-25,Contactless,
100064,2025-06-09,S002,P011,SUP01,Sale,150,40,19,0,0,0,0,171,33.0,171,171,1.65,2.99,56.81,31.35,B-5640,2026-06-09,Voucher,
100065,2025-09-27,S001,P010,SUP04,Adjustment,55,60,21,0,0,0,2,92,11.0,94,92,0.58,1.09,22.89,12.18,B-6802,2027-09-27,Card,
100066,2025-07-23,S007,P002,SUP01,Waste,159,59,32,0,0,0,0,186,8.0,186,186,0.42,0.89,28.48,13.44,B-6928,2025-07-28,Card,
100067,2025-08-12,S004,P004,SUP07,Receipt,57,23,18,0,0,0,1,61,15.0,62,61,0.78,1.29,23.22,14.04,B-4871,2025-08-19,Card,On Time
100068,2025-05-12,S003,P007,SUP10,Shrinkage,170,40,17,0,0,0,0,193,76.0,193,193,3.8,5.99,101.83,64.6,B-6295,2025-05-17,Contactless,
100069,2025-03-19,S002,P015,SUP08,Waste,72,47,45,0,0,-2,0,72,11.0,72,72,0.55,1.49,67.05,24.75,B-8581,2025-09-15,Card,
100070,2025-08-19,S004,P019,SUP06,Waste,144,0,0,0,0,0,0,144,17.0,144,144,0.88,1.59,0.0,0.0,B-9586,2026-08-19,Cash,
100071,2025-07-06,S005,P012,SUP07,Shrinkage,118,22,45,0,0,0,0,95,18.0,95,95,0.92,1.79,80.55,41.4,B-3463,2025-07-20,Contactless,
100072,2025-02-11,S003,P019,SUP06,Adjustment,87,0,49,0,0,-1,0,37,17.0,37,37,0.88,1.59,77.91,43.12,B-9624,2026-02-11,Card,
100073,2025-11-27,S006,P014,SUP01,Adjustment,95,51,44,0,0,-2,0,100,12.0,100,100,0.62,1.25,55.0,27.28,B-6517,2026-11-27,Cash,
100074,2025-11-02,S003,P013,SUP03,Waste,97,27,1,0,0,0,0,123,5.0,123,123,0.18,0.45,0.45,0.18,B-4833,2027-11-02,Cash,
100075,2025-06-08,S004,P016,SUP06,Return,86,10,28,0,0,0,0,68,27.0,68,68,1.38,2.49,69.72,38.64,B-2680,2025-06-29,Card,
100076,2025-05-26,S003,P003,SUP05,Waste,16,0,22,0,0,0,0,-6,38.0,-6,-6,1.92,2.99,65.78,42.24,B-2337,2025-06-16,Contactless,
100077,2025-04-25,S006,P001,SUP02,Sale,166,0,2,0,0,0,0,-164,21.0,164,164,0.0,1.79,3.58,0.0,B-5193,2025-05-05,Cash,
100078,2025-03-18,S007,P018,SUP02,Return,127,21,26,0,0,0,0,122,39.0,122,122,1.95,3.49,90.74,50.7,B-8032,2025-09-14,Card,
100079,2025-11-11,S004,P012,SUP10,Adjustment,205,34,18,0,0,0,0,221,18.0,221,221,0.92,1.79,32.22,16.56,B-7338,2025-11-25,Contactless,
100080,2025-05-10,S006,P001,SUP02,Adjustment,65,0,49,0,0,0,1,15,21.0,16,15,1.05,1.79,87.71,51.45,B-8840,2025-05-20,Cash,
100081,2025-03-11,S008,P003,SUP01,Adjustment,115,47,65,0,0,0,0,97,38.0,97,97,1.92,2.99,194.35,124.8,B-6438,2025-04-01,Contactless,
100082,2025-03-05,S007,P012,SUP07,Shrinkage,156,0,39,0,0,0,0,117,18.0,117,117,0.92,1.79,69.81,35.88,B-3956,2025-03-19,Contactless,
100083,2025-06-14,S002,P004,SUP06,Sale,83,0,16,0,0,0,2,65,15.0,67,65,0.78,1.29,20.64,12.48,B-2229,2025-06-21,Voucher,
100084,2025-07-06,S003,P017,SUP01,Sale,196,5,5,5,0,0,0,201,24.0,201,201,1.22,2.19,10.95,12.2,B-3255,2025-08-20,Contactless,
100085,2025-07-23,S005,P011,SUP04,Waste,162,0,36,0,0,0,0,126,33.0,126,126,1.65,2.99,107.64,59.4,B-4279,2026-07-23,Card,
100086,2025-03-11,S008,P003,SUP03,Adjustment,126,0,17,0,0,0,0,109,38.0,109,109,1.92,2.99,50.83,32.64,B-3852,2025-04-01,Contactless,
100087,2025-09-18,S002,P008,SUP04,Adjustment,128,0,26,0,0,0,0,102,82.0,102,102,4.1,6.49,168.74,106.6,B-8842,2025-09-23,Voucher,
100088,2025-07-29,S002,P019,SUP03,Sale,189,0,12,0,0,0,0,177,17.0,177,177,0.88,1.59,19.08,10.56,B-3034,2026-07-29,Cash,
100089,2025-06-05,S003,P006,SUP06,Shrinkage,68,0,31,0,0,0,0,37,25.0,37,37,1.25,2.19,67.89,38.75,B-3762,2025-06-15,Cash,
100090,2025-03-29,S006,P020,SUP10,Shrinkage,263,46,19,0,0,0,0,290,28.0,290,290,1.4,2.79,53.01,26.6,B-5745,2027-03-29,Contactless,
100091,2025-09-05,S007,P008,SUP05,Shrinkage,32,50,7,0,0,0,0,75,82.0,75,75,4.1,6.49,45.43,28.7,B-2739,2025-09-10,Contactless,
100092,2025-05-04,S002,P015,SUP05,Receipt,153,45,29,0,0,0,0,169,11.0,169,169,0.55,1.49,43.21,15.95,B-3610,2025-10-31,Voucher,Partial
100093,2025-08-28,S005,P016,SUP08,Waste,263,48,37,0,0,0,0,274,27.0,274,274,1.38,2.49,92.13,51.06,B-3194,2025-09-18,Contactless,
100094,2025-07-07,S006,P013,SUP01,Return,56,59,18,0,0,0,0,97,5.0,97,97,0.18,0.45,8.1,3.24,B-6990,2027-07-07,Cash,
100095,2025-04-12,S007,P020,SUP09,Shrinkage,112,78,31,0,0,0,0,159,28.0,159,159,1.4,2.79,86.49,43.4,B-5902,2027-04-12,Contactless,
100096,2025-09-17,S008,P017,SUP10,Shrinkage,86,83,1,0,0,0,0,-168,24.0,168,-168,1.22,2.19,2.19,1.22,B-4728,2025-11-01,Card,
100097,2025-10-26,S003,P016,SUP09,Shrinkage,0,0,0,0,0,2,0,2,27.0,2,2,1.38,2.49,0.0,0.0,B-8726,2025-11-16,Card,
100098,2025-12-28,S004,P005,SUP09,Adjustment,41,24,6,0,0,0,0,59,22.0,59,59,1.1,1.89,11.34,6.6,B-5331,2026-01-18,Voucher,
100099,2025-04-09,S005,P008,SUP09,Return,77,0,65,0,0,0,0,12,82.0,12,12,4.1,6.49,421.85,266.5,B-2996,2025-04-14,Voucher,
100100,2025-07-22,S003,p012,SUP05, receipt ,264,56,48,0,0,0,0,272,18.0,272,272,0.92,1.79,85.92,44.16,B-4972,2025-08-05,Card,Partial
100101,2025-09-29,S004,P008,SUP01,Adjustment,79,26,42,0,0,0,0,63,82.0,63,63,4.1,6.49,272.58,172.2,B-4267,2025-10-04,Contactless,
100102,2025-06-14,S001,P010,SUP02,Adjustment,94,0,14,0,1,0,0,79,11.0,79,79,0.58,1.09,15.26,8.12,B-5742,2027-06-14,Card,
100103,2025-01-05,S002,P010,SUP06,Return,90,71,23,0,0,0,0,138,11.0,138,138,0.58,1.09,25.07,13.34,B-4050,2027-01-05,Card,
100104,2025-06-22,S004,P010,SUP03,Return,54,17,10,0,0,0,0,61,,61,61,0.58,1.09,10.9,5.8,B-6400,2027-06-22,Contactless,
100105,2025-10-26,S001,P019,SUP05,Return,143,0,22,0,0,0,0,121,17.0,121,121,0.88,1.59,34.98,19.36,B-7021,2026-10-26,Cash,
100106,2025-04-23,S008,P005,SUP03,Sale,99,64,23,0,0,0,0,140,22.0,140,140,1.1,1.89,43.47,25.3,B-9609,2025-05-14,Voucher,
100107,2025-09-28,S002,P012,SUP10,Shrinkage,205,0,46,0,0,0,0,159,18.0,159,159,0.92,1.79,82.34,42.32,B-8298,2025-10-12,Card,
100108,2025-08-21,S007,P005,SUP08,Waste,49,0,15,0,0,0,1,33,22.0,34,33,1.1,1.89,28.35,16.5,B-1519,2025-09-11,Contactless,
100109,2025-07-29,S003,P006,SUP07,Waste,124,61,12,0,0,2,0,175,25.0,175,175,1.25,2.19,26.28,15.0,B-9664,2025-08-08,Cash,
100110,2025-04-25,S001,P001,SUP05,Sale,26,49,15,0,0,0,0,60,21.0,60,60,1.05,1.79,26.85,15.75,B-4943,2025-05-05,Cash,
100111,2025-02-04,S001,P004,SUP08,Adjustment,149,0,23,0,0,0,0,126,15.0,126,126,0.78,1.29,29.67,17.94,B-6224,2025-02-11,Contactless,
100112,2025-05-02,S003,P010,SUP09,Adjustment,101,37,31,0,0,0,0,107,11.0,107,107,0.58,1.09,33.79,17.98,B-7244,2027-05-02,Contactless,
100113,2025-12-23,S007,P014,SUP03,Return,108,55,25,0,0,0,1,137,12.0,138,137,0.62,1.25,31.25,15.5,B-2295,2026-12-23,Voucher,
100114,2025-07-09,S004,P003,SUP01,Sale,162,24,3,0,0,0,0,183,38.0,183,183,1.92,2.99,8.97,5.76,B-4470,2025-07-30,Cash,
100115,2025-03-02,S004,P016,SUP10,Return,102,15,18,0,0,0,0,99,27.0,99,99,1.38,2.49,44.82,24.84,B-4328,2025-03-23,Contactless,
100116,2025-06-10,S001,P014,SUP10,Shrinkage,164,0,24,0,0,0,0,140,12.0,140,140,0.62,1.25,30.0,14.88,B-6530,2026-06-10,Contactless,
100117,2025-09-08,S008,P016,SUP03,Adjustment,109,0,19,0,0,0,0,90,27.0,90,90,1.38,2.49,47.31,26.22,B-1794,2025-09-29,Card,
100118,2025-07-31,S004,P005,SUP02,Shrinkage,146,0,46,0,0,0,0,100,22.0,100,100,1.1,22.68,1043.28,50.6,B-5501,2025-08-21,Contactless,
100119,2025-01-09,S007,P017,SUP03,Adjustment,124,51,30,0,0,0,0,145,24.0,145,145,1.22,2.19,65.7,36.6,B-4700,2025-02-23,Contactless,
100120,2025-12-17,S001,P003,,Receipt,71,53,6,0,0,0,0,118,38.0,118,118,1.92,2.99,17.94,11.52,B-4463,2026-01-07,Voucher,Late
100121,2025-01-24,S005,P003,SUP09,Receipt,49,0,65,0,0,0,0,-16,38.0,-16,-16,1.92,2.99,194.35,124.8,B-7375,2025-02-14,Contactless,Late
100122,2025-03-13,S006,P003,SUP01,Receipt,148,41,32,0,0,0,0,157,38.0,157,157,1.92,2.99,95.68,61.44,B-6829,2025-04-03,Voucher,Late
100123,2025-04-06,S007,P019,SUP02,Return,126,19,37,0,0,0,0,108,17.0,108,108,0.88,1.59,58.83,32.56,B-2674,2026-04-06,Cash,
100124,2025-02-14,S007,P006,SUP08,Adjustment,141,0,16,0,0,0,0,125,,125,125,1.25,2.19,35.04,20.0,B-4977,2025-02-24,Cash,
100125,2025-12-17,S003,P013,SUP03,Shrinkage,117,38,35,0,0,0,0,120,5.0,120,120,0.18,0.45,15.75,6.3,B-4203,2027-12-17,Voucher,
100126,2025-02-24,S005,P005,SUP01,Adjustment,171,0,19,0,0,0,0,152,22.0,152,152,1.1,1.89,35.91,20.9,B-4290,2025-03-17,Voucher,
100127,2025-06-10,S007,P006,SUP06,Adjustment,96,77,13,0,0,0,1,159,25.0,160,159,1.25,2.19,28.47,16.25,B-8563,2025-06-20,Cash,
100128,2025-08-13,S002,P010,SUP07,Adjustment,99,0,34,0,0,0,0,65,11.0,65,65,0.58,1.09,37.06,19.72,B-7853,2027-08-13,Card,
100129,2025-07-04,S002,P018,SUP02,Sale,159,0,15,0,0,0,0,144,39.0,144,144,1.95,3.49,52.35,29.25,B-2615,2025-12-31,Contactless,
100130,2025-04-24,S004,P017,SUP08,Adjustment,72,0,39,0,0,0,0,33,24.0,33,33,1.22,2.19,85.41,47.58,B-3321,2025-06-08,Contactless,
100131,2025-06-09,S008,P011,SUP04,Return,64,36,21,0,0,0,2,77,33.0,79,77,1.65,2.99,62.79,34.65,B-7985,2026-06-09,Voucher,
100132,2025-04-29,S003,P013,SUP03,Sale,107,0,21,0,0,0,0,86,5.0,86,86,0.18,0.45,9.45,3.78,B-2667,2027-04-29,Cash,
100133,2025-07-07,S004,P011,SUP08,Adjustment,126,26,6,0,0,0,0,146,33.0,146,146,1.65,2.99,17.94,9.9,B-5873,2026-07-07,Card,
100134,2025-12-11,S006,P005,SUP02,Receipt,122,52,36,0,0,0,0,138,22.0,138,138,1.1,1.89,68.04,39.6,B-9022,2026-01-01,Contactless,On Time
100135,2025-04-06,S008,P011,SUP10,Waste,166,37,26,0,0,0,0,177,33.0,177,177,1.65,2.99,77.74,42.9,B-3740,2026-04-06,Card,
100136,2025-10-17,S004,P001,SUP05,Sale,161,43,29,0,0,0,0,175,21.0,175,175,1.05,1.79,51.91,30.45,B-8231,2025-10-27,Cash,
100137,2025-08-06,S004,P004,SUP05,Shrinkage,43,0,38,0,0,0,2,3,15.0,5,3,0.78,1.29,49.02,29.64,B-8015,2025-08-13,Cash,
100138,2025-11-12,S004,P005,SUP04,Sale,129,0,4,0,0,0,0,125,22.0,125,125,1.1,1.89,7.56,4.4,B-3221,2025-12-03,Voucher,
100139,2025-01-31,S003,P009,SUP03,Sale,88,28,0,0,0,0,0,116,19.0,116,116,0.95,1.79,0.0,0.0,B-7600,2026-01-31,Contactless,
100140,2025-12-22,S008,P012,SUP08,Waste,118,0,26,0,0,0,0,92,18.0,92,92,0.92,1.79,46.54,23.92,B-4470,2026-01-05,Voucher,
100141,2025-05-18,S005,P011,SUP06,Waste,89,0,22,0,0,0,1,66,,67,66,1.65,2.99,65.78,36.3,B-1011,2026-05-18,Voucher,
100142,2025-04-14,S005,P005,SUP03,Sale,206,3,20,0,0,2,0,191,22.0,191,191,1.1,1.89,37.8,22.0,B-4496,2025-05-05,Voucher,
100143,2025-02-09,S004,P005,SUP09,Return,139,0,52,0,0,0,0,87,22.0,87,87,1.1,1.89,98.28,57.2,B-7022,2025-03-02,Contactless,
100144,2025-03-12,S003,P013,SUP03,Sale,125,8,15,0,0,0,0,118,5.0,118,118,0.18,0.45,6.75,2.7,B-3293,2027-03-12,Card,
100145,2025-10-29,S006,P013,SUP07,Shrinkage,107,52,44,0,0,0,0,115,5.0,115,115,0.18,0.45,19.8,7.92,B-4090,2027-10-29,Voucher,
100146,2025-06-01,S004,P002,SUP08,Waste,158,41,50,2,0,0,0,151,8.0,151,151,0.42,0.89,44.5,21.84,B-2195,2025-06-06,Card,
100147,2025-10-28,S001,P003,SUP05,Receipt,113,93,4,0,0,0,0,202,38.0,202,202,1.92,2.99,11.96,7.68,B-5546,2025-11-18,Card,Late
100148,2025-02-10,S004,P017,SUP03,Sale,61,0,20,0,0,2,0,43,24.0,43,43,1.22,2.19,43.8,24.4,B-8428,2025-03-27,Card,
100149,2025-06-08,S002,P006,SUP01,Sale,95,2,45,0,0,0,0,52,25.0,52,52,1.25,2.19,98.55,56.25,B-6488,2025-06-18,Voucher,
100150,2025-05-20,S002,P017,SUP05,Adjustment,98,0,18,0,0,0,0,80,24.0,80,80,1.22,2.19,39.42,21.96,B-2889,2025-07-04,Cash,
100151,2025-09-18,S001,P001,SUP01,Waste,108,15,28,0,0,0,0,95,21.0,95,95,1.05,1.79,50.12,29.4,B-6241,2025-09-28,Contactless,
100152,2025-02-09,S006,P019,SUP02,Return,0,39,42,0,0,0,0,-3,17.0,-3,-3,0.0,1.59,66.78,0.0,B-5979,2026-02-09,Cash,
100153,2025-08-26,S008,P012,SUP04,Waste,0,0,0,0,0,-1,0,-1,18.0,-1,-1,13.8,1.79,0.0,0.0,B-6038,2025-09-09,Card,
100154,2025-04-16,S004,P017,SUP07,Sale,89,119,47,0,0,0,0,161,24.0,161,161,1.22,2.19,102.93,57.34,B-2565,2025-05-31,Cash,
100155,2025-11-23,S002,P013,SUP10,Sale,61,0,17,0,0,0,0,44,5.0,44,44,0.18,0.45,7.65,3.06,B-4321,2027-11-23,Cash,
100156,2025-10-27,S003,P004,SUP02,Return,154,64,0,0,0,0,0,218,15.0,218,218,0.78,1.29,0.0,0.0,B-3430,2025-11-03,Card,
100157,2025-12-31,S006,P008,SUP07,Receipt,85,31,12,0,0,0,0,104,82.0,104,104,4.1,6.49,77.88,49.2,B-3141,2026-01-05,Cash,Late
100158,2025-07-10,S005,P003,SUP02,Shrinkage,157,89,40,0,0,0,0,206,38.0,206,206,1.92,2.99,119.6,76.8,B-8096,2025-07-31,Voucher,
100159,2025-09-12,S007,P001,SUP07,Receipt,139,55,18,6,0,0,0,182,21.0,182,182,1.05,1.79,32.22,25.2,B-7868,2025-09-22,Cash,Partial
100160,2025-09-27,S001,P008,SUP07,Waste,131,16,0,0,0,0,0,147,82.0,147,147,4.1,6.49,0.0,0.0,B-9674,2025-10-02,Contactless,
100161,2025-10-27,S003,P008,SUP02,Receipt,132,41,47,0,0,0,0,126,82.0,126,126,4.1,6.49,305.03,192.7,B-3885,2025-11-01,Cash,Partial
